fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,title_fight
Cam Rowston,Andre Petroski,2025-09-27,"Perth, Western Australia, Australia",Steve Perceval,1,0,12,7,0,0,0,0,win,Cam Rowston,Middleweight,KO/TKO Punches,1,00:02:41,False
Jamie Mullarkey,Rolando Bedoya,2025-09-27,"Perth, Western Australia, Australia",Matt Wynne,0,0,43,46,3,0,0,1,win,Jamie Mullarkey,Lightweight,U-DEC,3,00:05:00,False
Colby Thicknesse,Josias Musasa,2025-09-27,"Perth, Western Australia, Australia",Jim Perdios,0,0,62,43,2,1,1,0,win,Colby Thicknesse,Bantamweight,U-DEC,3,00:05:00,False
Michelle Montague,Luana Carolina,2025-09-27,"Perth, Western Australia, Australia",Steve Perceval,0,0,41,48,5,0,0,1,win,Michelle Montague,Women's Bantamweight,U-DEC,3,00:05:00,False
Brando Pericic,Elisha Ellison,2025-09-27,"Perth, Western Australia, Australia",Mike Beltran,0,0,29,3,0,0,0,0,win,Brando Pericic,Heavyweight,KO/TKO Punches,1,00:01:55,False
Alexia Thainara,Loma Lookboonmee,2025-09-27,"Perth, Western Australia, Australia",Matt Wynne,0,0,44,30,5,0,1,0,win,Alexia Thainara,Women's Strawweight,U-DEC,3,00:05:00,False
Diego Lopes,Jean Silva,2025-09-13,"San Antonio, Texas, USA",Mike Beltran,1,0,74,43,3,0,0,0,win,Diego Lopes,Featherweight,KO/TKO Punches,2,00:04:48,False
David Martinez,Rob Font,2025-09-13,"San Antonio, Texas, USA",Dan Miragliotta,0,0,62,49,0,0,0,0,win,David Martinez,Bantamweight,U-DEC,3,00:05:00,False
Rafa Garcia,Jared Gordon,2025-09-13,"San Antonio, Texas, USA",Kerry Hatley,1,0,91,65,2,1,2,0,win,Rafa Garcia,Lightweight,KO/TKO Elbows,3,00:02:27,False
Kelvin Gastelum,Dustin Stoltzfus,2025-09-13,"San Antonio, Texas, USA",Jacob Montalvo,1,0,57,64,0,1,0,0,win,Kelvin Gastelum,Middleweight,U-DEC,3,00:05:00,False
Alexander Hernandez,Diego Ferreira,2025-09-13,"San Antonio, Texas, USA",Jeff Rexroad,1,0,30,23,0,0,0,0,win,Alexander Hernandez,Lightweight,KO/TKO Punches,2,00:03:46,False
Santiago Luna,Quang Le,2025-09-13,"San Antonio, Texas, USA",Mike Beltran,2,0,15,12,0,0,0,0,win,Santiago Luna,Bantamweight,KO/TKO Punch,1,00:02:48,False
Dusko Todorovic,Jose Daniel Medina,2025-09-13,"San Antonio, Texas, USA",Dan Miragliotta,0,0,16,9,2,0,1,0,win,Dusko Todorovic,Middleweight,SUB Rear Naked Choke,1,00:04:21,False
Joaquim Silva,Claudio Puelles,2025-09-13,"San Antonio, Texas, USA",Kerry Hatley,1,0,25,21,0,4,1,0,win,Joaquim Silva,Lightweight,S-DEC,3,00:05:00,False
Tatiana Suarez,Amanda Lemos,2025-09-13,"San Antonio, Texas, USA",Jeff Rexroad,0,0,20,23,3,0,0,1,win,Tatiana Suarez,Women's Strawweight,U-DEC,3,00:05:00,False
